split,class_label,branch_index,confuser_class,node_idx_sorted,original_node_id,true_label,full_pred_label,removed_branch_pred_label,full_correct,removed_correct,effect_type
0,0,2,2,1227,1227,3,0,3,0,1,broken_by_branch
0,1,1,0,249,249,1,1,2,1,0,fixed_by_branch
0,1,1,0,2130,2130,0,1,4,0,0,wrong_redirect_by_branch
0,1,2,2,174,174,2,1,3,0,0,wrong_redirect_by_branch
0,1,2,2,1068,1068,1,1,3,1,0,fixed_by_branch
0,2,1,0,810,810,2,2,1,1,0,fixed_by_branch
0,3,2,0,1818,1818,3,3,0,1,0,fixed_by_branch
1,0,1,2,1209,1209,0,0,3,1,0,fixed_by_branch
1,0,1,2,1307,1307,0,0,2,1,0,fixed_by_branch
1,0,1,2,1658,1658,1,0,2,0,0,wrong_redirect_by_branch
1,0,1,2,2166,2166,1,0,2,0,0,wrong_redirect_by_branch
1,1,1,0,170,170,0,1,0,0,1,broken_by_branch
1,1,1,0,179,179,2,1,0,0,0,wrong_redirect_by_branch
1,1,1,0,1091,1091,4,1,3,0,0,wrong_redirect_by_branch
1,1,1,0,1415,1415,1,1,0,1,0,fixed_by_branch
1,1,2,2,587,587,1,1,3,1,0,fixed_by_branch
1,1,2,2,2118,2118,3,1,3,0,1,broken_by_branch
1,2,2,0,62,62,1,2,1,0,1,broken_by_branch
1,2,2,0,85,85,2,2,0,1,0,fixed_by_branch
1,2,2,0,600,600,1,2,0,0,0,wrong_redirect_by_branch
1,2,2,0,804,804,1,2,4,0,0,wrong_redirect_by_branch
1,2,2,0,1737,1737,2,2,0,1,0,fixed_by_branch
1,2,2,0,2043,2043,1,2,0,0,0,wrong_redirect_by_branch
1,2,2,0,2044,2044,0,2,0,0,1,broken_by_branch
1,2,2,0,2217,2217,4,2,3,0,0,wrong_redirect_by_branch
1,4,1,3,475,475,2,4,3,0,0,wrong_redirect_by_branch
2,1,2,2,94,94,1,1,3,1,0,fixed_by_branch
2,1,2,2,489,489,1,1,2,1,0,fixed_by_branch
2,1,2,2,1068,1068,1,1,3,1,0,fixed_by_branch
2,2,2,1,7,7,2,2,1,1,0,fixed_by_branch
2,2,2,1,416,416,0,2,0,0,1,broken_by_branch
2,2,2,1,1384,1384,2,2,1,1,0,fixed_by_branch
2,3,1,2,2001,2001,2,3,4,0,0,wrong_redirect_by_branch
3,0,1,1,86,86,0,0,1,1,0,fixed_by_branch
3,0,1,1,729,729,4,0,2,0,0,wrong_redirect_by_branch
3,0,1,1,830,830,0,0,1,1,0,fixed_by_branch
3,0,1,1,2021,2021,2,0,2,0,1,broken_by_branch
3,1,1,0,32,32,2,1,0,0,0,wrong_redirect_by_branch
3,1,1,0,428,428,0,1,0,0,1,broken_by_branch
3,1,1,0,563,563,2,1,2,0,1,broken_by_branch
3,1,1,0,592,592,3,1,0,0,0,wrong_redirect_by_branch
3,1,1,0,693,693,1,1,0,1,0,fixed_by_branch
