dataset,split,class,n_nodes_all,n_nodes_test,R_c,L_c,H_c,T_c,S_c,VarSignal_c,test_acc_c
chameleon,0,0,456,83,0.0,0.5076620339452546,0.4923379658363672,3276198602.747908,0.3635553084384776,0.0700708571972081,0.8072289156626506
chameleon,0,1,460,97,0.0,0.6450845243417045,0.3549154753680528,4987179449.576868,0.3568759069043724,0.0576063611270505,0.6907216494845361
chameleon,0,2,453,87,0.0,0.7259444205779659,0.2740555791161875,5699753981.436049,0.3941698695340323,0.0581708685442027,0.632183908045977
chameleon,0,3,521,102,0.0057967947980581,0.7708256445563905,0.2233775603963636,1.5748786902693723,0.4059194991946753,0.0374293822640082,0.7254901960784313
chameleon,0,4,387,87,0.0,0.8019023145493602,0.19809768512084,7455120224.050939,0.4121971088751661,0.0308274040895922,0.8390804597701149
amazon-computers,0,0,436,386,0.0399508844241626,0.8548224479941126,0.1052266675703037,1.6624474781180405,0.5543712682150768,0.0024585602190538,0.9248704663212436
amazon-computers,0,1,2142,2092,0.0393489667040817,0.8431518959974681,0.1174991372829898,1.7373382359443668,0.5371936320541908,0.0080160389206335,0.8049713193116634
amazon-computers,0,2,1414,1364,0.0413223947704202,0.8613720837186842,0.0973055215003411,1.668267730554128,0.5564999269015922,0.0005234685903678,0.9596774193548387
amazon-computers,0,3,542,492,0.045189197899751,0.8344094817645148,0.1204013203182343,1.736927940037705,0.5492862842354771,0.0123318707312015,0.9247967479674796
amazon-computers,0,4,5158,5108,0.04314533510088,0.8351128958303606,0.1217417690500229,1.6672451833603776,0.5474715478606378,0.0136569078217301,0.7819107282693813
amazon-computers,0,5,308,258,0.0499586148881906,0.8372736772287218,0.1127677078657363,1.6501245111969616,0.566092428135128,0.010403309587677,0.9612403100775194
amazon-computers,0,6,487,437,0.0431379018150051,0.847704834246079,0.1091572639255895,1.6669355982338674,0.549578223695364,0.0042514456537552,0.8924485125858124
amazon-computers,0,7,818,768,0.0460069017854162,0.8498761614274887,0.1041169367743387,1.6955666629613793,0.5564769310583614,0.0062541603348844,0.8997395833333334
amazon-computers,0,8,2156,2106,0.0425581400645617,0.8426634963578894,0.1147783635616378,1.6861029470820692,0.5472980414643973,0.0092785120268064,0.4449192782526115
amazon-computers,0,9,291,241,0.0504239168725529,0.8278136846646593,0.1217623984451153,1.668937810390056,0.5736270111768706,0.0153483006565719,0.91701244813278
amazon-photo,0,0,369,319,0.0276238528088105,0.8657504559675899,0.1066256912136333,1.9080484857262532,0.5278261982523828,0.0030642201049187,0.9561128526645768
amazon-photo,0,1,1686,1636,0.0466910912031462,0.841743842349901,0.1115650664353979,1.859024185691048,0.5295806272603559,0.0123842765594368,0.8319070904645477
amazon-photo,0,2,703,653,0.0343812479865216,0.8486177083982456,0.1170010436033955,1.8551254406194384,0.5335367596114542,0.0049554180906484,0.9693721286370596
amazon-photo,0,3,915,865,0.0370627488733736,0.8570832451802807,0.1058540059363241,1.842070502425606,0.521695070385593,0.0061073298107557,0.8670520231213873
amazon-photo,0,4,882,832,0.0302631490137668,0.8667881149719254,0.1029487360048988,1.8612404757606609,0.5140568522884355,0.0030087618593319,0.9543269230769232
amazon-photo,0,5,823,773,0.0381767951270211,0.8467754675733266,0.1150477372884637,1.8880613265294093,0.529302491295828,0.008118652385538,0.9754204398447608
amazon-photo,0,6,1941,1891,0.0300591750786122,0.8583054298732666,0.1116353950358084,1.8729297642125895,0.515354537791009,0.0074326674547747,0.849286092014807
amazon-photo,0,7,331,281,0.0274946576939075,0.8712019795430644,0.1013033627548447,1.8374808254686168,0.5132955297840451,0.0002328379048186,0.8185053380782918
cornell,0,0,38,10,0.1089722310612824,0.5142885545386459,0.3767392143664931,1.5055222796971823,0.5929064288144164,0.0042994445188147,0.9
cornell,0,1,16,5,0.077180221814652,0.5974875016665155,0.3253322764930585,0.812832940051945,0.5848780401622429,0.0015840456066236,0.0
cornell,0,2,30,5,0.1098734724041836,0.5481850321014529,0.3419414954655653,1.2277903400721333,0.5471418275503497,0.0025816870340554,1.0
cornell,0,3,82,15,0.0825748622347966,0.5723318591653312,0.3450932785674708,1.2083412327873988,0.5707734293976567,0.0043303922080712,0.9333333333333332
cornell,0,4,17,2,0.0658288271861835,0.5278504614632262,0.4063207113146896,1.2884719338263486,0.6200024390791248,0.0021765817923726,1.0
squirrel,0,0,1042,213,0.0112347299788683,0.6076236227454217,0.3811416460752012,927518354.1190196,0.3349291461520689,0.0107086482242029,0.568075117370892
squirrel,0,1,1040,206,0.0151947637247113,0.6147431573090352,0.3700620778474401,0.7370820504207858,0.3365609143838161,0.0091383420557536,0.4757281553398058
squirrel,0,2,1039,215,0.022529153963914,0.6127103957567096,0.3647604491581167,0.6745595021470382,0.3599723892510454,0.0075960485658566,0.5209302325581395
squirrel,0,3,1040,201,0.0250915917924162,0.6288813030480435,0.3460271041501276,0.6175666423430455,0.3744399896193602,0.008424859234867,0.6766169154228856
squirrel,0,4,1040,206,0.0327601631008488,0.636868561830351,0.3303712741663206,0.5150557919119175,0.3992588823166592,0.0074468003700229,0.7718446601941747
texas,0,0,33,4,0.098996522922234,0.5037995499695141,0.3972039270795416,1.727107415181586,0.528916385241686,0.0032179528837735,1.0
texas,0,2,18,4,0.078059233624849,0.5492878607910083,0.3726529055552058,1.496500690479008,0.5396385162995145,0.0038167496252421,0.5
texas,0,3,101,24,0.1012689380263047,0.4928594901115675,0.405871571833468,2.28854860765285,0.5801825780141107,0.0050175795667169,0.9583333333333334
texas,0,4,30,5,0.1032483231194664,0.5183157485473939,0.3784359283087585,1.0555684619261294,0.5101683567833617,0.0037272773141033,0.8
wisconsin,0,0,10,1,0.087325701767872,0.5836962218105582,0.3289780763806927,1.359055406515804,0.6149080439773601,0.0,0.0
wisconsin,0,1,70,12,0.1329281405062713,0.557901756351794,0.3091701030994572,2.002034817061124,0.7240268706222169,0.0014825716772451,0.9166666666666666
wisconsin,0,2,118,27,0.1095941533232257,0.5506216951622596,0.3397841514725943,1.8255784152371848,0.6681194259869594,0.002543681607485,0.9629629629629628
wisconsin,0,3,32,8,0.1389408992700383,0.5439267686171252,0.3171323320672375,1.6381227329937993,0.7375918917633906,0.0018952946800136,0.875
wisconsin,0,4,21,3,0.0906771812883785,0.538235300108721,0.3710875185588738,1.508051531030284,0.6980019268324195,0.0010588517336122,0.6666666666666666

